l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
12,0.0006501480892870042,0.0037804907414096174,0.01601290664355029,0.048857424931975243,0.11209034650485203,0.21592140431987286,0.35719617616605265,0.52784800982446,0.7000890943677912,0.851814394760288,0.9500108358014882,0.9893568349827832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.00013710257583389945,0.001472697331429302,0.006020189509650327,0.018639788399889702,0.046519366123956137,0.0978742938832225,0.18100158823320994,0.29679780759116936,0.44838396115529716,0.6139268488436399,0.7813029058043685,0.8971561228623937,0.9590510036986886,0.98845873597587,0.9983208785656298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,3.284487529621972e-05,0.00036950484708247187,0.002136559138019093,0.008823775748329427,0.025868623783302652,0.06302767344968083,0.12422588734536222,0.21447046670925551,0.3346038825927088,0.47609303639376405,0.6213330749536476,0.7492523685260698,0.8516068534116793,0.9256950386173621,0.9690749076648443,0.9906539907344607,0.998305204434715,0.999852198061167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,2.9667560154686658e-06,4.746809624749865e-05,0.0003367268077556936,0.0017118182209254203,0.0060625659176102185,0.017735267460471684,0.04362318045145126,0.08965536678746308,0.16142267817965783,0.2575500232148658,0.37541627295342045,0.5056153274482783,0.6328327921475901,0.7434245561362156,0.8356031489148348,0.9072028385921556,0.9585929862921039,0.9860933311774907,0.9968107372833712,0.999402198662883,0.9999510485257448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3.2258116545349265e-06,2.5806493236279412e-05,0.00011451631373598989,0.0006629042950069274,0.002693552731536664,0.008535497637899415,0.023250037500060484,0.052961375744154424,0.10450823307779529,0.1826470687855948,0.28557787996432255,0.40453452344277974,0.5308331142469584,0.6517413737764093,0.7614899378869966,0.849041692002729,0.9111192114825991,0.952757988319336,0.9778225448750724,0.9908515981477389,0.9965354782830295,0.9989822564229942,0.9997580641259098,0.9999612902601456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.0,3.3525771260367847e-06,5.3641234016588554e-05,0.00026820617008294274,0.0009085484011559686,0.003171537961230798,0.009271552042054727,0.02276064610866373,0.04885710645773406,0.09604295321813879,0.16734891611181515,0.2639584548642542,0.37866688123160275,0.5033542534145998,0.6256244174897243,0.7360029904987965,0.8257766244912464,0.8940434762201704,0.9409728508304334,0.969836863597047,0.9856526461891256,0.9938848993221089,0.9975811156035644,0.9993026639577843,0.9998038742381269,0.9999865896914959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.0,1.581382697775627e-06,1.1069678884429389e-05,4.744148093326881e-05,0.00022297496038636342,0.0007732961392122816,0.0024037017006189533,0.00650580841864893,0.01545959725345453,0.0330967584817461,0.06538384902223107,0.12126675079622619,0.20117876266292195,0.3061762482644325,0.42806606384358226,0.5540896137947176,0.6715642088816778,0.7707722524266317,0.849849294228902,0.908376267873578,0.9488248745172829,0.9738834647462355,0.9882677217652026,0.9952384566969976,0.9984233614503177,0.9995081899809918,0.9998719080014802,0.9999794420249289,0.9999984186173022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.0,1.6033015184868681e-06,6.413206073947473e-06,1.763631670335555e-05,6.733866377644846e-05,0.00023728862473605648,0.0007327087939484987,0.001967250963183387,0.004912515852643764,0.011240746946111433,0.024458364664517174,0.049275868869175406,0.09131122808086412,0.155911452863737,0.2443591844325836,0.35270388784585216,0.4713562167214729,0.5898209593194306,0.6981736792402916,0.7898985591129253,0.8626531754188225,0.915999826843436,0.9529142410050777,0.9756073706977408,0.9887560464508516,0.9954113510540906,0.9982796574706636,0.9994661005943438,0.9998284467375219,0.9999486943514084,0.999990380190889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.0,1.715171722992906e-06,8.57585861496453e-06,1.715171722992906e-05,4.6309636520808467e-05,9.776478821059565e-05,0.00023669369777302104,0.0006792080023051908,0.001696304834039984,0.0038608515484570313,0.008285994593778729,0.01745187228145282,0.0339466787414756,0.06240480796937389,0.10907120020856488,0.1762356097092441,0.2643628480083426,0.3710671112391773,0.4862906324181177,0.6024643587315962,0.7074311530070391,0.796443419915202,0.8666608350828084,0.918520767299222,0.9537967041260171,0.9761556827069526,0.9888496686288231,0.9953227267113983,0.9982059303777494,0.9994185567859054,0.9998044704235788,0.9999519751917562,0.999994854484831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.0,0.0,0.0,3.4205575508807934e-06,1.539250897896357e-05,4.788780571233111e-05,0.00014366341713699333,0.0003027193432529502,0.0006670087224217548,0.0014280827774927312,0.002813408585599453,0.0056456302377287495,0.011330596887292628,0.021669232084829827,0.04051479391140756,0.07138532580810672,0.11863177697964768,0.18465024799042243,0.2704327005301864,0.3727159226953993,0.4849444159397982,0.5961108260646485,0.6980297588506926,0.7854061912091671,0.8556798358132376,0.9076654694715238,0.944691294681033,0.9691944586967676,0.9838823328202497,0.9922558577048058,0.9966341713699333,0.9987634684453566,0.9996049256028733,0.9998939627159227,0.9999828972122456,0.9999914486061228,0.9999982897212245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
