l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
42,0.0,0.0,0.0,0.0,9.433873265346553e-06,3.5848718408316905e-05,7.924453542891105e-05,0.00016226262016396073,0.00036414750804237693,0.0007094272695540608,0.0013999867925774286,0.002679220007358421,0.005143347704266941,0.009730096885878435,0.0181488853878737,0.033031763851284424,0.057595683059593776,0.0958160772068188,0.1494627409175385,0.22182243563739965,0.3112083848265582,0.41445269384251093,0.5241459986226545,0.6315185705795229,0.7283176573805907,0.8085697304742409,0.8724823350723107,0.91917623418647,0.9510061225837492,0.9719153592890634,0.984671842718465,0.9922547900491505,0.9962830539334535,0.9983736002490543,0.9994132130828954,0.9998339638305299,0.9999811322534693,0.9999981132253469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0.0,0.0,0.0,3.9637711318548465e-06,9.909427829637117e-06,2.7746397922983926e-05,6.540222367560497e-05,0.00013278633291713735,0.00024377192460907308,0.0004895257347840735,0.0008997760469310502,0.0014487583486929466,0.0024654656440137148,0.004278890936837307,0.007600531145331668,0.013827615593475633,0.024125492994034523,0.04158194105872327,0.06993281407931506,0.11091226192599639,0.16833541431317756,0.24374417821115008,0.3350040628654101,0.43705531442614504,0.5449511465207999,0.6497235269635532,0.7442257764036705,0.8217551578571853,0.8826129179301188,0.9270765206017004,0.9570763224131439,0.9760330578512396,0.9874507005965476,0.993911647541471,0.9974354400776899,0.9989575281923222,0.999591731573419,0.9998355034980281,0.9999326158907584,0.9999801811443407,0.9999920724577362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.0,0.0,2.275861755053551e-06,4.551723510107102e-06,6.827585265160653e-06,2.048275579548196e-05,5.234482036623167e-05,8.420688493698139e-05,0.00015931032285374858,0.0002981378899120152,0.0005962757798240304,0.0010218619280190444,0.0017819997542069305,0.0029131030464685454,0.004772482100347296,0.00791544718407625,0.01324096369090156,0.022428617596052747,0.03678930527044065,0.05895847462641729,0.09153743565000888,0.1362558432750561,0.1966936280422582,0.2732627209292799,0.36292257063136957,0.46130807430233456,0.5638083360264364,0.6634660464184764,0.752575137575843,0.8270390583394402,0.8850484986140001,0.9279439409732495,0.9574186265629481,0.976324210162178,0.9876830361816502,0.9940600008193102,0.9974168969080143,0.9989576553161855,0.9996472414279667,0.9998998620827776,0.9999658620736742,0.9999908965529798,0.9999954482764899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0.0,0.0,0.0,0.0,2.3445119663890763e-06,7.033535899167229e-06,3.0478655563057993e-05,5.6268287193337834e-05,0.00014535974191612274,0.00030478655563057994,0.0005579938480006002,0.0009143596668917399,0.0015098657063545653,0.0024078137894815816,0.0038192099932478057,0.0056713744466951755,0.00848009978242929,0.013131611523745217,0.020017443169029935,0.03096865856403331,0.0471317240603196,0.07066359066696676,0.10420886788206167,0.1505669029934729,0.21088885137669744,0.286450127541451,0.3732580276089729,0.4692657926326056,0.5684245817390652,0.6667252794658264,0.7538825118163404,0.8265084589991747,0.8827181333933528,0.9244035561557506,0.9533231112611599,0.9725105971940881,0.9848614862330257,0.9919184672518568,0.9958877260109535,0.9979321404456448,0.9989426251031586,0.9995381311426214,0.9997960274589242,0.9999413872008402,0.9999859329282017,0.9999976554880337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,0.0,0.0,0.0,0.0,0.0,2.853026347698321e-06,1.7118158086189926e-05,3.138328982468153e-05,9.41498694740446e-05,0.0001768876335572959,0.0003280980299853069,0.0005820173749304574,0.0009785880372605242,0.0016062538337541547,0.002756023451876578,0.00435086518023994,0.006721730075177244,0.010413546169098871,0.01586853254589806,0.023731473160154636,0.0356856535570106,0.053183264147444405,0.07694041454472832,0.10881157187486626,0.15113336471662317,0.20476740702700388,0.2708349381606539,0.347124862698107,0.4313861428510292,0.5222550320252207,0.613874267128857,0.7017075362690974,0.7783312648892312,0.8443360294432319,0.8955335872526783,0.9335159270195861,0.9598293890244076,0.9764083251308826,0.9868389894580677,0.9929416128157944,0.9963909216701616,0.9983680689291166,0.9993124206502048,0.9996861671017532,0.9998887319724398,0.9999885878946092,0.9999971469736523,0.9999971469736523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,0.0,0.0,0.0,0.0,0.0,3.1971455884186596e-06,6.394291176837319e-06,2.238001911893062e-05,3.836574706102392e-05,0.00010230865882939711,0.00024937735589665547,0.0003964460529639138,0.0006777948647447558,0.0010838323544739258,0.0017648243648071002,0.002704785167802186,0.0042490064870083985,0.006579725620965602,0.00994951707115887,0.015186441544988634,0.022862788102781837,0.03441727225932687,0.0502527343587645,0.07239616470415214,0.10180670697201538,0.14020442548892348,0.18842377525345372,0.24842780365689512,0.31810319746530297,0.39589614392270583,0.48094021657464214,0.566690858401619,0.650945236093216,0.7303367553448281,0.7992736085223113,0.857631106947717,0.9030657429047346,0.9378283068876108,0.9620051218272326,0.9779876526237375,0.9875663008066399,0.9932348399349061,0.9965662656380384,0.9985325101749158,0.9993669651734931,0.9997666083720455,0.9999360570882316,0.9999872114176463,0.9999968028544116,0.9999968028544116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0303967027305513e-05,1.3738622703074017e-05,6.869311351537008e-05,0.00013395157135497165,0.0002404258973037953,0.0004052893697406835,0.0006216726773140992,0.0010235273913790143,0.001531856431392753,0.0023286965481710458,0.0037369053752361325,0.005821741370427615,0.009146488064571526,0.014013395157135497,0.021638330757341576,0.03246780010303967,0.047545938519663405,0.06712347587154388,0.09366649493388288,0.1281573072299502,0.16849046883049973,0.21837884252103726,0.2759024557788082,0.34324231495792545,0.4182448909496823,0.4984406663232011,0.5803503348789284,0.6621397904860038,0.7398763523956723,0.8099914133608106,0.8671990382964108,0.9102009273570325,0.9436476043276661,0.9649665121071612,0.9786467456637472,0.988383994504551,0.993752361325777,0.9970118495620814,0.9984612742572557,0.9993955006010647,0.9997492701356689,0.9998866563626997,0.9999656534432423,0.9999828267216212,0.9999965653443242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,0.0,0.0,0.0,0.0,0.0,0.0,9.912407360292878e-06,1.3216543147057172e-05,4.295376522793581e-05,7.929925888234303e-05,0.00012555715989704313,0.00020485641877938615,0.0003799756154778937,0.0005914403058308084,0.0009482869708013521,0.0013513915367865958,0.00200891455835269,0.002920856035499635,0.004384588189036216,0.006644617067182993,0.010028052112829628,0.015618649864034813,0.023333806926129436,0.03451169829275304,0.05029885908191283,0.07231431582912332,0.09944457477424493,0.13265113943122606,0.17537691928987514,0.22521650349742772,0.28238135674423676,0.3465212406369052,0.4150886664838378,0.4877961744715861,0.5585674588882905,0.6309974194699506,0.6997862224145963,0.7643259067374633,0.8202417966568755,0.8679535174177518,0.9068332832206072,0.9380639746771033,0.960257854756799,0.9748158770332825,0.9849463573555018,0.9919445169518687,0.9956847986624858,0.9978721365533237,0.9989525889555957,0.9995473333972132,0.9999041800621838,0.9999735669137059,0.9999966958642132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8078056998455707e-05,5.6156113996911414e-05,9.827319949459497e-05,0.0001719780991155412,0.000287800084234171,0.00042468061210164257,0.0006808928822125508,0.0009967710234451777,0.0013723150357995227,0.0018917590902709533,0.002667415414853292,0.0038151059946651693,0.005591043099817492,0.008332163414291731,0.012912396462164818,0.01954232767092517,0.029011652393654358,0.041748560999578826,0.0605327811315457,0.08454302962235014,0.11476554822406289,0.15163905657728485,0.1947072862557911,0.24438438860030887,0.30007370489962093,0.3616453741401095,0.42582128316720486,0.49126070475923067,0.5587217464551453,0.6260037905376948,0.6900533483082971,0.7499473536431279,0.8042397866067668,0.8509722027235715,0.8917555805138284,0.9236031166643268,0.9484486873508353,0.9661869998596098,0.9789941036080303,0.9873543450793205,0.9926400393092798,0.995872525621227,0.9978941457251158,0.998873367962937,0.9994981047311526,0.9997718657868876,0.9998806682577566,0.9999649024287519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2641017355228928e-06,1.3056406942091571e-05,3.9169220826274717e-05,7.507433991702654e-05,0.0001762614937182362,0.00029703325793258326,0.0004635024464442508,0.0007997049252031087,0.0013709227289196149,0.0018540097857770031,0.002464396810319784,0.0032184043112255725,0.004328198901303356,0.005679537019809834,0.008026426167650794,0.011610409873254929,0.017365021232981788,0.025179280787823596,0.03610749339835424,0.05218645854754001,0.07284822253339993,0.10019486687361072,0.1336976070870177,0.17648018853451625,0.22653845275049533,0.28330118193123843,0.3476660040540144,0.4137151026723201,0.4822351263044167,0.5495343758874277,0.6147837695805303,0.6762435411586908,0.7341878751676932,0.7882740409253075,0.8364717671520386,0.8772599824391326,0.9116505583246018,0.9391277667342336,0.9591367103729889,0.9744747244282109,0.9846587218430424,0.990867043344007,0.9949112653943198,0.9973854545098462,0.9987041516109975,0.9993537078563665,0.9997160231490095,0.9998694359305791,0.9999379820670251,0.9999836794913224,0.999993471796529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,0.0,0.0,0.0,0.0,0.0,0.0,2.988839672662279e-06,5.977679345324558e-06,1.7933038035973675e-05,3.885491574460963e-05,7.770983148921926e-05,0.00011955358690649117,0.00021220761675902182,0.00033773888301083754,0.0008846965431080346,0.0012045023880828984,0.0014794756379678281,0.0018710136350865868,0.0024030270968204725,0.0031173597785867572,0.004145520625982581,0.005317145777666194,0.007358523274094531,0.010114233452289153,0.013978803149041479,0.019624721290700524,0.028020371931208866,0.039766511844771625,0.05580761436795007,0.07762315513871205,0.10621738428707207,0.14113002050344015,0.186434852261655,0.2374453789549821,0.29605951377556206,0.3598742296265744,0.4252192313899898,0.49273711959543065,0.5604462935399219,0.6250530519041898,0.6846535038167483,0.7391759171254536,0.7875981086622551,0.8323111501652828,0.8700512287119895,0.901021585400116,0.9261816377645871,0.9471662811063489,0.9636078881456641,0.9744603649971009,0.9829845357435336,0.9892760432544877,0.9933916754837437,0.9960338097543772,0.9977673367645212,0.9986042118728667,0.9996323727202625,0.9998894129321115,0.999964133923928,0.9999850558016367,0.9999970111603274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.811149270991324e-06,8.716723906486986e-06,1.452787317747831e-05,2.615017171946096e-05,4.067804489693927e-05,7.845051515838287e-05,0.0001539954556812701,0.00026440729183010525,0.0004067804489693927,0.0006276041212670629,0.0009065392862746465,0.0012871695635245782,0.001746250355932893,0.0022314813200606685,0.0028155018217952965,0.003626157145098586,0.00489589326081019,0.006607276721117135,0.009405345095099459,0.01295305172503966,0.018267347733361226,0.027236856633136335,0.038304190419739315,0.054276134191058964,0.07611443315144437,0.10273821353649111,0.1356990522015539,0.17791414608067038,0.22622804111969225,0.27834242778194246,0.33666021629097587,0.397508760307526,0.4610827333321711,0.5242760760795663,0.5866355189065742,0.6472167500566587,0.7006560787526949,0.7519743379648193,0.7974988813537653,0.8363231696332584,0.8688481721029968,0.8970293404926692,0.9190942742746233,0.9371960042537613,0.9523078979329742,0.9645548950215884,0.9741810637889855,0.9818140083564326,0.9875815740078916,0.9917714126322763,0.9941714172811957,0.9964581045193308,0.9977685186799393,0.9987070192872044,0.9994101683489944,0.9999070216116641,0.9999796609775515,0.999994188850729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3233768889054105e-06,6.970130666716232e-06,6.970130666716232e-06,6.970130666716232e-06,1.6263638222337873e-05,3.252727644467575e-05,0.00010687533688964889,0.0001719298897790004,0.0003020389955577034,0.00048093901600342,0.0006691325440047582,0.0009061169866731102,0.0012128027360086243,0.001561309269344436,0.0020585119235701937,0.0028600769502425604,0.003852158881805171,0.005222951246259364,0.007365104737830152,0.010004460883626698,0.013426795040984369,0.018433672236575528,0.026045054924629652,0.037266965298042784,0.052438616382595116,0.07537499302986933,0.10314167022917789,0.14112655898589246,0.18659039794799354,0.24230032899016746,0.3082726157506366,0.38072712403115183,0.4500195163658668,0.5216980167654877,0.5967384435233546,0.6638654485976098,0.7256533335811602,0.7777039460233082,0.8231701083622981,0.8647422910354826,0.9004130964108474,0.930438095946172,0.9535649894983365,0.9696102302931172,0.9797053028754112,0.9865662348283489,0.9911641976914928,0.9942310551848479,0.9965683723350867,0.9981877660266538,0.9990985297671047,0.9995399713759967,0.9997746324417762,0.9998908012862214,0.9999488857084441,0.9999790896079999,0.9999907064924444,0.9999930298693332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1704262638111694e-06,1.2681705055244678e-05,1.2681705055244678e-05,2.2192983846678185e-05,5.072682022097871e-05,0.00011096491923339093,0.000187055149564859,0.0004280075456145079,0.0005833584325412552,0.0009669800104624066,0.0012079324065120555,0.001569361000586529,0.0020100502512562816,0.0026694989141290044,0.003538195710413265,0.004502005294611861,0.005893822424424964,0.0076280455907296735,0.010338760046288224,0.014171805399235926,0.019212783158695686,0.026834487896897737,0.03781367404847582,0.05257200830651681,0.07386459109427262,0.09965600875037649,0.13341153718117402,0.17380910863465593,0.22346115435220265,0.2802403183107969,0.3413597958245486,0.40659765705499107,0.47429259863988715,0.5408335050647559,0.604029611781304,0.6649905679818652,0.7181395938683957,0.7673002235150516,0.812424900527876,0.8546296149517303,0.888499278728025,0.9179366865875117,0.9404593947656262,0.9580806239398887,0.9712695971973432,0.9804923671987699,0.9879745731813643,0.991890049617171,0.994661002171742,0.9967946990472869,0.9980470174214923,0.9992200751391025,0.999698809504938,0.9998414786868094,0.9999207393434048,0.9999619548848343,0.9999778070161534,0.9999873182949448,0.9999936591474724,0.9999968295737361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
