l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
42,0.0,0.0,0.0,1.696306800833226e-06,1.696306800833226e-05,4.919289722416355e-05,0.00012043778285915904,0.00027310539493414934,0.0005445144830674655,0.0010601917505207662,0.001969412195767375,0.003563940588550608,0.006654611579668745,0.011870754992230914,0.02145828103054031,0.03912870897482002,0.06763344845602155,0.11225988777234205,0.17556775388623888,0.2596146669471227,0.35868746564978726,0.4701636596801444,0.5811190875226457,0.6860170037793716,0.7770781454617007,0.850126205225982,0.9049457521085094,0.9433925457493945,0.9680280094178954,0.9832693260233819,0.9920341432632872,0.9963512440714077,0.9986192062641217,0.9994894116529492,0.9998184951723108,0.9999270588075642,0.9999745553979875,0.9999915184659959,0.9999983036931992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0.0,0.0,0.0,2.045784660706614e-06,1.2274707964239683e-05,4.705304719625212e-05,0.00010842658701745054,0.0002475399439455003,0.0005175835191587733,0.0009287862359608028,0.0017573290235469814,0.0030073034512387224,0.004764632474785704,0.007473251365561261,0.012231746486364846,0.020069147521531883,0.033192856119964816,0.054737014381866164,0.08734273030420818,0.13422188580430025,0.19682698799124404,0.2754935455493955,0.36957304474131053,0.4718540946379984,0.5763568666762137,0.6768335345021583,0.7657678852723963,0.838937419447229,0.894435465722878,0.9348397127718336,0.9624537141220515,0.979924715124486,0.9897178862952886,0.9952251386019108,0.997921482784722,0.9992103271209672,0.9997360937787688,0.9999038481209468,0.9999611300914466,0.9999979542153393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.0,0.0,0.0,2.090947868487743e-06,1.0454739342438714e-05,2.0909478684877428e-05,4.39099052382426e-05,0.00013800255932019102,0.00028018701437735753,0.0005561921330177396,0.0010120187683480676,0.0017187591478969246,0.002885508058513085,0.004838453367680637,0.007659142042270602,0.011665398158293117,0.01801769778275888,0.02831143413932404,0.04456228097321078,0.06901591629517492,0.10435293527261778,0.15272074136647626,0.21547635974339888,0.2929522511144752,0.38289228272960696,0.48130692605571956,0.5828726278196432,0.680229251524301,0.7664118498197603,0.8377926281541949,0.8926402816924969,0.9332924901516355,0.9608302735796191,0.9783189615516505,0.9888866120789876,0.994803994546808,0.9976288651171349,0.9990904376772078,0.9996926306633322,0.9999121801895235,0.9999811814691836,0.9999958181042631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0.0,0.0,2.348090298160506e-06,7.044270894481518e-06,9.392361192642025e-06,3.287326417424708e-05,6.809461864665467e-05,0.00012914496639882783,0.0002653342036921372,0.00047901042082474325,0.0008547048685304242,0.0014910373393319212,0.002672126759306656,0.004428498302330715,0.00756085076007683,0.012308689342957372,0.018641488877096258,0.027244891729556353,0.03976021301875185,0.05703511334231869,0.08049957969183663,0.11410779612940795,0.15889996665711775,0.2173298456365438,0.28914618740578285,0.37319138344784186,0.46503693546039004,0.5606042105955227,0.654396329465246,0.7406510784778739,0.8145478282512832,0.8738065831059599,0.9179530288016756,0.9491544526836324,0.9705408591192783,0.9838568792001465,0.9917582030534566,0.9958837977073246,0.9982154513733981,0.9993002690911482,0.9996970963515373,0.9998896397559864,0.9999718229164221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,0.0,0.0,0.0,2.383585675603524e-06,2.383585675603524e-06,1.4301514053621143e-05,3.337019945844934e-05,5.9589641890088094e-05,0.0001382479691850044,0.0002407421532359559,0.000445730521337859,0.0008437893291636475,0.0014778231188741849,0.0026124099004614623,0.004338125929598414,0.007458239578963426,0.011956065748827276,0.018232046832691355,0.02686777773540292,0.038530662446130966,0.0537093360283742,0.07332147896723999,0.09886875023835857,0.13320191830975173,0.1772267457381488,0.23364145150833301,0.3021361694824759,0.3821769764692422,0.47257207963083026,0.5682635101636093,0.660849128561077,0.7439766789977499,0.8150885740437054,0.8739488387170589,0.9187054269478662,0.9502188131650204,0.9712134357957363,0.984068113344266,0.991571641051066,0.9958883147095839,0.9981717897868121,0.9991752793562412,0.9996424621486595,0.9998450669310858,0.9999618626291903,0.9999856984859464,0.9999976164143244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,0.0,0.0,0.0,0.0,2.7107617240444565e-06,5.421523448088913e-06,1.8975332068311197e-05,5.421523448088913e-05,0.00015180265654648957,0.00032800216860937926,0.0005150447275684468,0.0008593114665220927,0.001442125237191651,0.002339387367850366,0.003854703171591217,0.0061181892111683385,0.009289780428300353,0.014860395771211711,0.022442396313364057,0.03319056654920032,0.047197072377338035,0.06509623204120357,0.08703984819734345,0.11505557061534291,0.1488967199783139,0.19110599078341015,0.24320954188126864,0.30566820276497697,0.37673624288425045,0.45607210626185957,0.5413336947682299,0.6253808620222282,0.7065085388994308,0.7797316345893196,0.8420818650040661,0.8914421252371917,0.9289861751152074,0.9560124695039306,0.9738953645974519,0.9849878015722418,0.9917565735971808,0.9957712117104907,0.9978639197614529,0.99902141501762,0.9995960965031174,0.9998563296286257,0.9999376524803469,0.9999810246679317,0.9999945784765519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.0,0.0,0.0,0.0,0.0,1.1263956746406094e-05,1.4079945933007617e-05,3.0975881052616756e-05,5.350379454542895e-05,9.011165397124875e-05,0.00017740731875589598,0.00037734255100460416,0.0006899173507173733,0.0010672599017219773,0.001813497036171381,0.0029680526026780057,0.00491671711980626,0.007794658068513017,0.012443856215592132,0.019438773355110316,0.030195852047928136,0.04535432183940414,0.06627148951748026,0.09304591470368753,0.12482435267448573,0.16368218746040014,0.20840009574363236,0.26039170409585627,0.3192120862255889,0.3839009898201991,0.4548611013333709,0.5305154668206075,0.6069217014206666,0.6787941934302972,0.7463525900060544,0.8062571279726286,0.8571251566393985,0.8989482280388044,0.930766089858215,0.9548794052630838,0.9717499964800135,0.983053377075032,0.9904002928628755,0.99481294791828,0.9975134815482308,0.9989073961955987,0.9995522577193303,0.9998592005406699,0.9999605761513876,0.9999915520324402,0.9999971840108134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,0.0,0.0,0.0,0.0,5.474832196393181e-06,1.0949664392786362e-05,1.3687080490982951e-05,7.938506684770112e-05,0.00016424496589179541,0.00032027768348900107,0.0004708355688898135,0.0007172030177275067,0.0009608330504670032,0.001489154357418945,0.002176245798066289,0.0030631686138819845,0.0044209269985874934,0.006476726488333133,0.009608330504670031,0.014428920253594227,0.021160226439059644,0.031105259123807856,0.04459798307181885,0.06216124475784817,0.08497487052021856,0.1129567378759841,0.14572087115529908,0.18327000777426172,0.22536325511623068,0.27253167190425615,0.32631916081772094,0.38628773528091365,0.45294107985590243,0.5248447885072323,0.5974328511831113,0.6694816428876454,0.7372162668214219,0.7984823765151599,0.8510517152649272,0.893979874516846,0.9264127804482792,0.9510112015066738,0.9678846343359576,0.9795104405049985,0.9869972735335661,0.9922038389523361,0.9956529832360638,0.9977607936316751,0.9987982743328917,0.9994798909413426,0.9997591073833587,0.9999260897653487,0.9999835755034108,0.9999890503356073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,0.0,0.0,0.0,0.0,2.640068852995686e-06,2.640068852995686e-06,5.280137705991372e-06,1.0560275411982744e-05,2.3760619676961176e-05,6.072158361890078e-05,0.00013992364920877137,0.00022440585250463332,0.0004408914984502796,0.0007048983837498482,0.0010877083674342228,0.0015682008986794376,0.0022440585250463334,0.003255204895743681,0.004958049305925898,0.0073446715490339985,0.010964205946491085,0.016526831019752997,0.025046333208370075,0.03765530205027747,0.05545200618832139,0.07956111495387799,0.10891076039263103,0.14381247062923402,0.18382007402753064,0.22948798504665002,0.27733395286949086,0.33015381041137554,0.38674368627533806,0.44881170500926665,0.5118618293565096,0.5787057326455074,0.6482187455448838,0.7140594226697432,0.7773788340399918,0.8342696777531958,0.8813315451266969,0.9172338414585852,0.9456726631430548,0.9659668724160326,0.979188337231835,0.987805521968013,0.9928665339592057,0.996274862848423,0.9981387514586381,0.9990706957637455,0.9995775889835207,0.9997729540786424,0.9998943972458801,0.999960398967205,0.999968319173764,0.999984159586882,0.999994719862294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,0.0,0.0,0.0,0.0,0.0,5.037390027478963e-06,7.556085041218444e-06,1.2593475068697407e-05,2.5186950137394813e-05,3.5261730192352736e-05,8.311693545340289e-05,0.00014608431079688993,0.00024935080636020866,0.0004181033722807539,0.0006422672285035677,0.00102007148056449,0.0014558057179414202,0.0019948064508816692,0.002921686215937798,0.004057617667134305,0.006004568912754924,0.008850694278280537,0.013041802781143034,0.019623152852044298,0.02870052968156139,0.042225921905342405,0.060944863247454226,0.08614440685991774,0.11676418214194861,0.15374366233367168,0.1974581329921341,0.24390538774050388,0.2938410350829028,0.34560525500527667,0.3987749067453171,0.45454637043455043,0.5150983172598613,0.5768743498618496,0.6413604982986215,0.7038241346393607,0.7621344429024434,0.8154980341585418,0.8620611488775436,0.9005140656523042,0.9298870869025341,0.9537214978175508,0.9711810916527929,0.982520256604648,0.9897539486841078,0.9941264032279595,0.9969095612181417,0.99820165176019,0.9991990549856309,0.9995768592376918,0.9998337661290932,0.9999697756598351,0.9999874065249313,0.9999949626099726,0.9999974813049862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,0.0,0.0,0.0,0.0,0.0,2.5876903569718847e-06,2.5876903569718847e-06,5.1753807139437695e-06,4.1403045711550156e-05,6.469225892429712e-05,0.00010609530463584728,0.00014491065999042556,0.00024841827426930093,0.00045025812211310797,0.0007323163710230433,0.001169636041351292,0.0016328326152492592,0.0023030444177049776,0.003299305205139153,0.004342144418998823,0.005416035917142154,0.0072041299538097275,0.00977370647828281,0.013709583511237045,0.02004424950510422,0.029375460932344836,0.043744905484609714,0.06331560765438808,0.09047600564116498,0.1264423139127172,0.16962051520915009,0.21892636727089237,0.2737621136254836,0.33223356493162026,0.39240254111193057,0.452832874018295,0.5119460725329608,0.5686527190156426,0.6237756989998576,0.6773305386277478,0.7288488659447011,0.7779399397068146,0.823289213212747,0.8636209551165107,0.8977137755696153,0.9264242000802184,0.9482875959062739,0.9641837777691521,0.9765425869140498,0.9849189405995679,0.9910647051973761,0.9949928191592594,0.9972906881962504,0.9986129979686631,0.999358252791471,0.9995807941621706,0.9997282925125179,0.9998887293146502,0.9999560092639315,0.999997412309643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.728524232780024e-06,8.9713656437067e-06,5.831387668409355e-05,8.971365643706699e-05,0.0001345704846556005,0.00018839867851784068,0.00036782599139197465,0.0005091250002803552,0.0007468661898385827,0.0010317070490262704,0.001428689978760292,0.0020589284152306873,0.002702623900166643,0.0036580743412214065,0.0047301525356443575,0.006724038549958171,0.009480490643987054,0.01394823073455299,0.02056685573819761,0.03197843283699253,0.04845883152448174,0.07281160356432358,0.10681083651256103,0.15203997640530836,0.2083868811720192,0.27377467966617547,0.3430896934708644,0.41387376839971024,0.4869006847394828,0.5556796594469602,0.6183738054065935,0.6752455350634612,0.7263733478669456,0.7702836970100682,0.811058553860715,0.8473118424269338,0.879916028017575,0.9082834861829755,0.9320396624075108,0.9507023457878316,0.9652763292760332,0.9764927791720776,0.9848383920621356,0.9899543133204595,0.9935877164061606,0.9958529862311966,0.9973242901967645,0.9984524394264606,0.9990647351316436,0.9994101327089263,0.9997061877751686,0.9997914157487838,0.9998833722466318,0.999970843061658,0.9999820572687126,0.9999932714757672,0.9999932714757672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09421013723359e-06,6.282630411700771e-06,6.282630411700771e-06,1.0471050686167952e-05,1.4659470960635131e-05,3.5601572332971035e-05,6.49205142542413e-05,0.00012146418795954824,0.0001905731224882567,0.00030784889017333776,0.0004670088606030906,0.0007874230115998299,0.0011518155754784746,0.0017046870517081424,0.002244993267114409,0.0028858215691078873,0.003868006123470441,0.00531929374857332,0.0073674312627877705,0.010142259694622277,0.013997700557269318,0.01984892368069997,0.029214231414408584,0.04302345305932688,0.06254777416875563,0.08983114383663486,0.12502015677257086,0.17110534505253325,0.22685531311582866,0.2902512423901639,0.3575193662082441,0.4275581300378843,0.4958545110333461,0.5623917555135317,0.6221521359896295,0.6751649714035606,0.7226386210045088,0.765404486216956,0.8035023570335095,0.8377301275164553,0.869375736900192,0.8979449515923327,0.9225246959730433,0.943410253671674,0.9612005687874733,0.9737281338284046,0.9831478910256813,0.9895457029949299,0.9935100427847131,0.9961152401954317,0.9977968909356303,0.9987686044393066,0.9991769754160672,0.9994408458933586,0.999614665334749,0.9997905789862767,0.9999602100073925,0.9999853405290393,0.9999979057898628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087998250336749e-06,1.2263994751010246e-05,3.679198425303074e-05,9.60679588829136e-05,0.0001757839247644802,0.0002636758871467203,0.00041901982065951676,0.0007215316911844362,0.0009974715730821668,0.0013653914156124742,0.0017884992345223276,0.0023138070096905996,0.0031089226693810975,0.0042658261742263975,0.005915333468237275,0.008233228476178212,0.01179387495222152,0.016558436912989,0.02322800605841341,0.032912473913461165,0.046421264131698954,0.06660166749448632,0.09153232482416497,0.12336352320041206,0.163180626158692,0.2076416951293545,0.25929764102060965,0.31702630831274003,0.3759180111070912,0.4388772721605275,0.4983739986959286,0.5580608171499702,0.6151803727028005,0.6701435091785781,0.7218096750654591,0.769602462610146,0.8137446677172823,0.853365546759546,0.885086369183034,0.9139149328444087,0.9374127467873443,0.9564771266277898,0.9706645245555835,0.9807537042374146,0.9879833291431351,0.9927540231012781,0.9956524138607669,0.9976003450270523,0.9988247005030282,0.999466516228331,0.9997220161189772,0.9998487440647376,0.999938680026245,0.9999734280113728,0.9999938680026245,0.9999979560008748,0.9999979560008748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
