j_gene,cdr3_length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
IGHJ0-32C2,45,2.6170592450239077e-05,0.0002234114336768,0.0010485923862333,0.0032666722285823,0.0082256529601589,0.0165500565698486,0.0282290424046678,0.0423678936253804,0.0583765713085818,0.075999859596161,0.0980224656376217,0.1285398210194074,0.1707627007794464,0.2268598563014274,0.296275827408903,0.3768212613225006,0.4644619298804309,0.5579929794705561,0.6523686127535071,0.7422554514195842,0.8215588531182361,0.8855127529597052,0.932256316714279,0.9629205748033812,0.9809672621678364,0.990722256207166,0.995570184563101,0.9978500719062688,0.9989408570764796,0.999478072780835,0.9997463933251654,0.9998726938099008,0.9999395210290668,0.9999730020030676,0.9999881765095698,0.9999960969520632,0.99999891975348,0.9999997089857132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,48,1.1253988929912583e-05,0.0001083439189518,0.0005904598616322,0.0020720825117657,0.0055237676998595,0.0120719592171697,0.0223696198752981,0.0360140071809197,0.0518266551616734,0.0683877070489067,0.0858007139850909,0.1051200781570309,0.1303600491144163,0.164778565631147,0.2109056997691431,0.2684202259514794,0.3351817807294484,0.4100924682692817,0.4902671413617198,0.5752097856059012,0.6619602849392436,0.7465814093072745,0.8226862749875468,0.8854003832426031,0.931784710097836,0.9625690669791334,0.9811622487517094,0.9911249847981336,0.9959949998614056,0.9982057340878108,0.9992094046024568,0.9996504683440872,0.9998462604791598,0.9999315020697096,0.9999725957792566,0.9999889130542442,0.9999960400262836,0.99999871943301,0.9999993535097668,0.999999845106888,0.9999999483689626,0.9999999483689626,0.9999999483689626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,51,2.104846898634181e-06,3.662526215857652e-05,0.0002489821231126,0.0008837103753289,0.0026161219831707,0.0063513989762409,0.0130089390393939,0.0231344206723932,0.0362870385162637,0.0519708297629029,0.0683102353034325,0.0847847972621479,0.1018265357653017,0.1212857537141828,0.1463013948573328,0.1796658528431436,0.2232663625640151,0.2759869139264981,0.3363581477228092,0.4030727275706588,0.4751406336970644,0.5528703549827727,0.6346866160407697,0.7177096362856499,0.7964639250144457,0.8641282749562875,0.9172433295514664,0.9538114245443442,0.9765158936391272,0.9891139510553952,0.9951945024385156,0.9979382941405718,0.999143135277202,0.9996502113176136,0.9998733453294324,0.9999568656742248,0.9999880281088528,0.999996692745802,0.9999986952543664,0.9999995865706148,0.9999999026336432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,54,1.538791528859847e-07,7.641350288703714e-06,5.3790356114001926e-05,0.0002432117396604,0.0009028167482754,0.0022953713174995,0.0053066083838817,0.010547189236623,0.0183568707066602,0.0284120347695217,0.0405793394739493,0.0536899181019162,0.0671065690887605,0.0808356195609921,0.0962182045030904,0.1146658753880058,0.1392716436688236,0.1721794592034341,0.2140372870576236,0.2649052319830461,0.3227027841937921,0.388897936266189,0.4629339268271582,0.5438860626520715,0.62994169630756,0.7161366135027432,0.7962819137792654,0.8645765838430579,0.9167580292881377,0.9527669674549356,0.9756025689722378,0.9884741163901856,0.9949030757253556,0.997836089322086,0.9991993987470068,0.9997119794718574,0.9999183485635866,0.9999828157588896,0.999998275669409,0.99999944812031,0.9999998284307418,0.9999998284307418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,57,2.6404668979187574e-07,4.3209362943454e-06,2.104407570480878e-05,9.225730101917991e-05,0.0003372820184891,0.0010473229999869,0.0026931321045801,0.0053445971802131,0.0099835247815836,0.0167335798065743,0.0253459423010909,0.0359899598115382,0.0472880288945536,0.059445960946247,0.072021223500389,0.0851781106287068,0.1006044485636175,0.1199033398073662,0.1462880481619864,0.1799193685705586,0.2224825025636728,0.2733443316669933,0.3340298223092738,0.4010736553070194,0.4757817049960737,0.5563184634809456,0.6418114454299129,0.7262518866919475,0.8051211000195109,0.8718791063508278,0.922008310571468,0.9557119335251406,0.977412600546762,0.9891885877695876,0.9950797009247184,0.9978632948381584,0.9991362541319844,0.9996413510495232,0.9998268772461903,0.9999349134761784,0.9999832728875724,0.9999975029922068,0.9999997406369956,0.9999997406369956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,60,0.0,0.0,8.77368020772283e-06,2.7872152693729185e-05,0.0001667879199164,0.0003291779303008,0.0007316205796141,0.0018332243931435,0.0037851705616421,0.0071115159481029,0.0113570636935051,0.0170103027424758,0.0252212916052304,0.0338722943934964,0.0434018957884338,0.0537505621504557,0.0650159143384004,0.0768569222032772,0.0906072357584615,0.1087032878451832,0.1313823827717479,0.1611584362024546,0.1974883044634914,0.242099490472797,0.2968537445465764,0.3596240411838504,0.4328278996710517,0.5136150766493396,0.6034179735357871,0.6893243741930067,0.7711240414886701,0.8444771417848265,0.900722592564752,0.9408284366742248,0.9678339571925284,0.9838150471275046,0.9922770861766986,0.9967049252964646,0.9987509970867215,0.9996607638986365,0.9999013968444012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,63,0.0,0.0,0.0,1.6030522114105257e-05,2.5111442192927644e-05,0.0001908716784352,0.0005641399491251,0.0009617723685409,0.0019427073106912,0.0037628774814972,0.0059910151652343,0.0096234498699834,0.0143310902548651,0.0191151086717004,0.024589761382533,0.0307173978535105,0.0376594856320233,0.0457176570181827,0.0555465241481207,0.0691979747830713,0.087959574835992,0.1090664360617396,0.1370575160368177,0.1690350478068662,0.2147048315227888,0.2655508471212213,0.3275386861762937,0.3971394974092974,0.4704057555186971,0.554240193303832,0.6324759295678938,0.7119365534165676,0.7788766250333218,0.8430501974879744,0.8912452327799142,0.9314891083406676,0.9598968485635946,0.9789803984365436,0.988959622752726,0.9940940540940542,0.9975949975949976,0.999037999037999,0.9995189995189996,0.9997594997594996,0.9997594997594996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-32C2,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126,0.0022988505747126,0.0022988505747126,0.0045977011494252,0.0068965517241379,0.0137931034482758,0.0229885057471264,0.0436781609195402,0.0505747126436781,0.0666666666666666,0.0873563218390804,0.1011494252873563,0.1172413793103448,0.1448275862068965,0.1701149425287356,0.1977011494252873,0.2367816091954023,0.2988505747126437,0.3586206896551724,0.4551724137931034,0.5241379310344828,0.5977011494252874,0.671264367816092,0.7632183908045977,0.8436781609195402,0.896551724137931,0.9471264367816092,0.9793103448275862,0.986206896551724,0.9954022988505749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-7IA7,12,0.0022366843310662,0.016599343237328,0.0602965986794295,0.1559881118342187,0.314072134954172,0.5118049072238875,0.7028007584058424,0.8330919358168942,0.92212776103402,0.9734610890258674,0.9953882020007704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ0-7IA7,15,0.0030531411290477,0.020555698802539,0.0735919496672579,0.1748403669374426,0.3139763202570839,0.4759622261015914,0.6367636454756997,0.7749270524927053,0.8750741345542586,0.9384378209003688,0.9734941289770374,0.9907636423861408,0.9975981003972508,0.9995044525644896,0.9999528481805614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
