j_gene,cdr3_length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
IGHJ1,15,0.0,0.0007936507936507,0.0069726614848566,0.032599764733911,0.0902316924268143,0.195360790970547,0.3259396497811132,0.4980432710920516,0.6659129962178743,0.8120297656273265,0.912412073021829,0.9685304059084549,0.9898096280413352,0.998397435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,18,0.0002202502553626,0.0013789211588741,0.0060254346869789,0.0222110984039226,0.0544270287583421,0.1161300434341563,0.2148521671707305,0.3486590005732694,0.509707340439367,0.6689151418126208,0.8046428373883022,0.8975608705903948,0.9542450294510972,0.981904687554798,0.9946236785983906,0.9988527688460588,0.999656932715236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,21,4.050108558667746e-05,0.0010026398411772,0.0036460176404687,0.0124235813684547,0.0319076385087354,0.0661386977129662,0.118722327080741,0.2000100780211204,0.2999548263983322,0.4201777320778291,0.5516896435337526,0.6769066151428491,0.7879635577041558,0.8736975126031354,0.9349748965404264,0.9686312055780056,0.987235079235194,0.9955255334083252,0.9987350771066256,0.999965719059994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,24,4.440333492549196e-05,0.0005936501859518,0.0035364172117548,0.0127264458308294,0.0317375687307162,0.0651747893369994,0.1171127335756896,0.1840225948943503,0.2631765100777418,0.3530168735942055,0.4520020536499262,0.5570393329948621,0.6633697292160531,0.7614934054211505,0.8405577453496281,0.9006859525734197,0.9425069678235942,0.9702762320981998,0.9861772225304164,0.9948023418564264,0.9982700561048076,0.999705007290052,0.9999347501882964,0.9999998439497444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,27,1.2611083815282058e-05,0.000180248020467,0.001364665869105,0.0059932530801612,0.017455497323327,0.041070632546292,0.0797856661056265,0.1337903903521356,0.1993820049332533,0.2749906716080427,0.3564369487318486,0.442429347404139,0.5332741734470181,0.6267317976070468,0.71784234088713,0.8016614483110752,0.8690674012177588,0.9197986206665466,0.9541800416374988,0.975653836950854,0.9886997454171512,0.9956979983255336,0.998577895868966,0.9995994040482732,0.9999165795633772,0.9999815328744937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,30,6.52911380296726e-07,3.01132986949228e-05,0.0002422610304413,0.0012907476594938,0.0043158489629467,0.0131675345560556,0.0312832078320426,0.06314038454558,0.1113421025366424,0.1742850211684752,0.2517204434101873,0.3370097047433206,0.4278630599110897,0.5216965363087802,0.6133083114750535,0.7011616547214823,0.7782514947774432,0.8432775373317237,0.8964499905634891,0.9364627060582588,0.964165372757566,0.9808768278335273,0.99086497132362,0.9957431962337544,0.9984119973891334,0.9994564572277392,0.9998525089691654,0.999982674180984,0.999999696631774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,33,2.239066812264513e-07,9.241104174762268e-06,9.164292555989224e-05,0.0002525701290401,0.0011540077207122,0.0034828515893526,0.0092128950498721,0.0208792780501975,0.0426401622863576,0.078097338572044,0.1292952533111976,0.1956636999036345,0.2749599248071151,0.3652973754005844,0.4591208557667502,0.5522215445731966,0.6413185491646569,0.722071036614341,0.7941651569726005,0.8551369769098571,0.9037881117283642,0.940745309676696,0.9654562990421514,0.9813054425952332,0.9906947733986295,0.9958199132124516,0.9983642518790334,0.9994035182801192,0.9998628603794122,0.9999736550024854,0.9999952696645292,0.999999902086114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,36,9.548751489450038e-07,3.203983291133066e-06,3.415279336194107e-05,0.0001086431541849,0.0003423166081214,0.0010038592860169,0.0027490921960682,0.0064427525070393,0.0143158654798698,0.0293730118142945,0.0545945541845671,0.0944612247357109,0.1513661996269013,0.224886787587743,0.3126088020440745,0.4089373969721733,0.5073113114345742,0.6016099826757344,0.688240082769396,0.7642003168919709,0.8286787540723412,0.881683284158421,0.9221429025908304,0.9519768630608432,0.9720640952251418,0.985146381559143,0.9926936017932988,0.9967978697701656,0.9988192663109782,0.9996275153459668,0.9998963114805092,0.9999797430160744,0.999997957537363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,39,4.319783761533324e-07,5.517122282538595e-06,2.297341128316391e-05,9.754357392074818e-05,0.0003016853427942,0.0008375813482517,0.0018286299872924,0.0038673907481995,0.0074606683292997,0.0145082354800002,0.0270118826377166,0.0487790694546869,0.084471030590403,0.1375636041914789,0.208943290216708,0.2977764478062388,0.3985369970615187,0.5032735498453536,0.6042050125828055,0.6953875035953953,0.7728904748113659,0.8357785225690867,0.8846373206151263,0.9217707065637064,0.9492580481426196,0.9686995983801469,0.9819997501471552,0.9901931129110824,0.994989480785146,0.997590031582656,0.998983343799324,0.9996060330501172,0.9998636206658482,0.9999746115041142,0.999993600886821,0.999999264542538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHJ1,42,9.28889082097818e-08,2.211173410017794e-06,1.0767488639892052e-05,5.671126232146233e-05,0.0001739842958235,0.0004661917252196,0.0011044635264022,0.0022140090185873,0.0041257253319539,0.0073793725244872,0.012987093123739,0.0230833812392761,0.0401792330787142,0.068274275871667,0.1116796848531243,0.1733986281778907,0.253252120091567,0.3473651367770682,0.4501011591907947,0.5526615165848807,0.6491864783916028,0.7334317010476215,0.8034386384381479,0.8594798049358217,0.9022070638557405,0.9341431515143932,0.9575259806959244,0.973872276984124,0.9849909977248702,0.991933163072217,0.9959614501382522,0.998155922974214,0.9992309109561764,0.9997331167986524,0.999908659604366,0.999977628407696,0.9999928825686925,0.9999970786125768,0.9999998146368662,0.999999907111092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
