v_gene,j_gene,cdr3_length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
IGHV0-6IP5,IGHJ0-32C2,15,0.0066840529315174,0.0568337679899546,0.1721819762387713,0.322447599729547,0.4737370810393123,0.6070607553366174,0.7080556360475224,0.8258572394475031,0.9181203515889114,0.9635950932096976,0.9765864966676324,0.9950352554815028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,18,0.0089685202940236,0.0506085543837221,0.1462960743581549,0.2990871684244167,0.4686701022690955,0.6029548844146159,0.7074810908703526,0.7972628369020986,0.8700729732608927,0.9279988281666136,0.9685202940236496,0.9898396718866516,0.9974099818898478,0.9995738787685096,0.9999567220624268,0.9999966709278788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,21,0.0020107595610951,0.0127769788004687,0.0409475870885266,0.0968859859379993,0.1804956322573772,0.2868994353893683,0.4052213167146053,0.523113747736231,0.6303265153936295,0.7230278576755086,0.8001724459358687,0.8655587514647918,0.9196828060083092,0.9578938958133588,0.9817999627143924,0.9946235485245551,0.99911779588793,0.9999067859806114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,24,0.008915105854342,0.0359045354681433,0.0886695224432606,0.1708215875308902,0.2695665840698495,0.3747788779540066,0.4884782456034751,0.6027427493704919,0.7083262273318552,0.7960259895734058,0.866353668201563,0.9168413907030092,0.9511408058372876,0.9718769541504064,0.9845339967830714,0.9920680303501502,0.9966292472988836,0.9988162237537748,0.999672287931836,0.9999531839902622,0.9999966559993044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,27,0.0146835070541694,0.0557344595927676,0.1479218707677491,0.2777292897676923,0.4100380212879084,0.5230652447975709,0.6289831228284896,0.7233541664576667,0.7977648699350929,0.8591807867096036,0.9054684443374365,0.9382262751510652,0.9599990636798053,0.9749467467889232,0.9840390846801296,0.9907337740726248,0.9954287510491802,0.9979300635694532,0.9991305598191564,0.9996388479248804,0.999842831967309,0.9999598719916536,0.9999866239972178,0.9999966559993044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,30,0.0018358563818581,0.0117942904532124,0.0432278969914025,0.1122447273469032,0.2255260949094277,0.3755011821042458,0.5295693261504199,0.6553472243122226,0.752209548459586,0.8241925074320416,0.877576134535836,0.9179582869353236,0.9471547570081894,0.9674093692211488,0.9807385559936196,0.9889079496928534,0.9933354066137644,0.9957798711222132,0.9971007513969564,0.9981240156097954,0.998976735787161,0.9995619359088828,0.9999531839902625,0.999993311998609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,33,0.0001772320368642,0.0021435044458489,0.0106439542139424,0.0353828713596372,0.0880375063118013,0.1800610614527008,0.3085108161702498,0.4569811030520694,0.6039800296278462,0.7262868550676659,0.8132007771457617,0.8708814451433406,0.9086118049912556,0.9363937627699026,0.9570028390565906,0.9716328420996312,0.981631404179332,0.9884732296024318,0.9929408145316896,0.9960407031764662,0.9979467835729312,0.9989867677892476,0.9995953759158382,0.9998762719742644,0.9999464959888712,0.9999832799965224,0.999993311998609,0.9999966559993044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,36,5.350401112883432e-05,0.0006554241363282,0.0036951207685851,0.0134930428065529,0.0394190801991686,0.0926789792772276,0.182067461870032,0.3071130238795089,0.4506609417374759,0.5951150837839374,0.7217891741321482,0.8226442351100008,0.8900893851385921,0.9338623542433696,0.9613199439545485,0.9788525396013282,0.9886905896476428,0.9942249107987814,0.9971074393983472,0.9985787997043905,0.9993679838685408,0.9997291359436604,0.9998829599756556,0.9999464959888712,0.9999765919951312,0.9999866239972178,0.999993311998609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,39,3.0096006259969303e-05,0.0002073280431242,0.0011770882448343,0.0041632808659624,0.0128342746695291,0.0328280548282354,0.0727955511414746,0.1426450376701678,0.2443962908344285,0.3716488933029698,0.5138224268750649,0.6494651270887464,0.7642479509635738,0.8515598091244403,0.9109358854746642,0.9479472851730354,0.9699374337469862,0.983320124530586,0.990994606126878,0.9954053430443114,0.9976759195165912,0.9989065117725544,0.9994448958845384,0.9997893279561804,0.9999264319846978,0.9999799359958268,0.9999899679979132,0.9999966559993044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHV0-6IP5,IGHJ0-32C2,42,2.006400417331287e-05,0.0002140160445153,0.0009597281996234,0.002889216600957,0.0070391214641372,0.0159475393170881,0.0338513190410743,0.0678598061148396,0.1244938018947107,0.2098694836528526,0.3245753955116823,0.4578070712238708,0.5957771959216568,0.7233976384667088,0.8241991954334327,0.8974127466618512,0.9442354444009724,0.9725156582832568,0.9866540932240514,0.9939239507361818,0.9972779834338206,0.9989065117725544,0.9996054079179248,0.9998628959714824,0.9999431519881756,0.9999799359958268,0.9999966559993044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
